"tool","case","budgetSec","runs","meanTestsExecuted","meanLineCoveragePct","meanBranchCoveragePct","meanMutationScorePct"
"EvoSuite","LongestIncreasingSubsequence","30","3","3,67","100","100","100"
"EvoSuite","LongestIncreasingSubsequence","60","3","3,67","100","100","100"
"EvoSuite","LongestIncreasingSubsequence","120","3","3,67","100","100","100"
"EvoSuite","LruCache","30","3","9","100","100","83,33"
"EvoSuite","LruCache","60","3","9","100","100","83,33"
"EvoSuite","LruCache","120","3","9","100","100","83,33"
"EvoSuite","PricingEngine","30","3","23,67","97,73","97,62","80,85"
"EvoSuite","PricingEngine","60","3","23,67","97,73","97,62","82,27"
"EvoSuite","PricingEngine","120","3","23","97,73","97,62","80,85"
"EvoSuite","SimpleJsonParser","30","3","15","100","100","75"
"EvoSuite","SimpleJsonParser","60","3","16,33","100","100","75"
"EvoSuite","SimpleJsonParser","120","3","16,33","100","100","75"
"Randoop","LongestIncreasingSubsequence","30","3","1120,67","95,55","93,33","100"
"Randoop","LongestIncreasingSubsequence","60","3","2540","100","100","100"
"Randoop","LongestIncreasingSubsequence","120","3","4308,67","100","100","100"
"Randoop","LruCache","30","3","1099,33","93,94","100","83,33"
"Randoop","LruCache","60","3","2181,33","93,94","100","83,33"
"Randoop","LruCache","120","3","1740","93,94","100","83,33"
"Randoop","PricingEngine","30","3","620","74,24","52,38","55,32"
"Randoop","PricingEngine","60","3","766","81,82","61,11","61,7"
"Randoop","PricingEngine","120","3","2028","85,61","65,87","64,54"
"Randoop","SimpleJsonParser","30","3","8","33,33","25","0"
"Randoop","SimpleJsonParser","60","3","8","33,33","25","0"
"Randoop","SimpleJsonParser","120","3","8","33,33","25","0"
