program_class,generation_time_sec,seed,test_name,coverage_vector,run
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test0,"1,1,0,1,1,1,0,1,1,0,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test1,"1,1,1,0,0,0,0,0,0,0,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test2,"1,1,0,1,1,1,0,1,1,0,1",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test3,"1,1,0,1,1,1,0,1,1,1,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test4,"1,1,1,0,0,0,0,0,0,0,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test5,"1,1,0,1,1,1,0,0,0,1,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test6,"1,1,0,1,1,1,1,0,0,0,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test7,"1,1,0,1,1,1,0,1,1,0,0",1
LruCache,30,101,com.viktor.lab4.LruCache_ESTest#test8,"1,1,0,1,1,1,0,0,0,0,1",1
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test0,"1,1,1,0,0,0,0,0,0,0,0",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test1,"1,1,0,1,1,1,0,1,1,0,1",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test2,"1,1,0,1,1,1,0,1,1,0,0",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test3,"1,1,1,0,0,0,0,0,0,0,0",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test4,"1,1,0,1,1,1,0,0,0,1,0",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test5,"1,1,0,1,1,1,1,0,0,0,0",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test6,"1,1,0,1,1,1,0,1,1,1,0",10
LruCache,30,10010,com.viktor.lab4.LruCache_ESTest#test7,"1,1,0,1,1,1,0,0,0,0,1",10
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test0,"1,1,0,1,1,1,0,1,1,0,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test1,"1,1,0,1,1,1,0,1,1,0,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test2,"1,1,1,0,0,0,0,0,0,0,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test3,"1,1,0,1,1,1,0,1,1,0,1",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test4,"1,1,0,1,1,1,0,1,1,1,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test5,"1,1,1,0,0,0,0,0,0,0,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test6,"1,1,0,1,1,1,0,0,0,1,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test7,"1,1,0,1,1,1,1,0,0,0,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test8,"1,1,0,1,1,1,0,1,1,0,0",2
LruCache,30,202,com.viktor.lab4.LruCache_ESTest#test9,"1,1,0,1,1,1,0,0,0,0,1",2
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test0,"1,1,0,1,1,1,1,1,1,0,0",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test1,"1,1,1,0,0,0,0,0,0,0,0",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test2,"1,1,0,1,1,1,0,1,1,0,1",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test3,"1,1,0,1,1,1,0,1,1,1,0",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test4,"1,1,1,0,0,0,0,0,0,0,0",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test5,"1,1,0,1,1,1,0,0,0,1,0",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test6,"1,1,0,1,1,1,0,1,1,0,0",3
LruCache,30,303,com.viktor.lab4.LruCache_ESTest#test7,"1,1,0,1,1,1,0,0,0,0,1",3
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test0,"1,1,1,0,0,0,0,0,0,0,0",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test1,"1,1,0,1,1,1,0,1,1,0,1",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test2,"1,1,0,1,1,1,0,1,1,1,0",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test3,"1,1,1,0,0,0,0,0,0,0,0",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test4,"1,1,0,1,1,1,0,0,0,1,0",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test5,"1,1,0,1,1,1,1,0,0,0,0",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test6,"1,1,0,1,1,1,0,1,1,0,0",4
LruCache,30,404,com.viktor.lab4.LruCache_ESTest#test7,"1,1,0,1,1,1,0,0,0,0,1",4
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test0,"1,1,0,1,1,1,0,1,1,0,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test1,"1,1,1,0,0,0,0,0,0,0,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test2,"1,1,0,1,1,1,0,1,1,0,1",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test3,"1,1,0,1,1,1,0,1,1,1,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test4,"1,1,1,0,0,0,0,0,0,0,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test5,"1,1,0,1,1,1,0,0,0,1,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test6,"1,1,0,1,1,1,1,0,0,0,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test7,"1,1,0,1,1,1,0,1,1,0,0",5
LruCache,30,505,com.viktor.lab4.LruCache_ESTest#test8,"1,1,0,1,1,1,0,0,0,0,1",5
LruCache,30,606,com.viktor.lab4.LruCache_ESTest#test0,"1,1,0,1,1,1,0,1,1,0,0",6
LruCache,30,606,com.viktor.lab4.LruCache_ESTest#test1,"1,1,1,0,0,0,0,0,0,0,0",6
