timestamp,tool,targetClass,budgetSec,run,seed,status,elapsedSec,outputDir,error
2026-05-29T20:54:39.096645,EvoSuite,com.viktor.lab4.LongestIncreasingSubsequence,30,10,10010,OK,39.094,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\30\run10-seed10010,
2026-05-29T20:55:46.512811,EvoSuite,com.viktor.lab4.LongestIncreasingSubsequence,60,10,10010,OK,67.415,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run10-seed10010,
2026-05-29T20:58:01.879734,EvoSuite,com.viktor.lab4.LongestIncreasingSubsequence,120,10,10010,OK,135.366,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run10-seed10010,
2026-05-29T20:58:57.603455,EvoSuite,com.viktor.lab4.LruCache,30,10,10010,OK,55.721,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run10-seed10010,
2026-05-29T21:00:18.323672,EvoSuite,com.viktor.lab4.LruCache,60,10,10010,OK,80.717,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run10-seed10010,
2026-05-29T21:02:44.815498,EvoSuite,com.viktor.lab4.LruCache,120,10,10010,OK,146.49,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\120\run10-seed10010,
2026-05-29T21:04:37.737865,EvoSuite,com.viktor.lab4.SimpleJsonParser,30,10,10010,OK,112.92,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\SimpleJsonParser\30\run10-seed10010,
2026-05-29T21:07:03.281609,EvoSuite,com.viktor.lab4.SimpleJsonParser,60,10,10010,OK,145.542,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\SimpleJsonParser\60\run10-seed10010,
2026-05-29T21:10:33.854042,EvoSuite,com.viktor.lab4.SimpleJsonParser,120,10,10010,OK,210.567,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\SimpleJsonParser\120\run10-seed10010,
2026-05-29T21:11:48.685611,EvoSuite,com.viktor.lab4.PricingEngine,30,10,10010,OK,74.828,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\PricingEngine\30\run10-seed10010,
2026-05-29T21:13:33.525631,EvoSuite,com.viktor.lab4.PricingEngine,60,10,10010,OK,104.838,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\PricingEngine\60\run10-seed10010,
2026-05-29T21:16:13.927373,EvoSuite,com.viktor.lab4.PricingEngine,120,10,10010,OK,160.399,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\PricingEngine\120\run10-seed10010,
2026-05-29T21:16:48.320575,Randoop,com.viktor.lab4.LongestIncreasingSubsequence,30,10,10010,OK,34.39,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\30\run10-seed10010,
2026-05-29T21:18:00.495159,Randoop,com.viktor.lab4.LongestIncreasingSubsequence,60,10,10010,OK,72.173,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run10-seed10010,
2026-05-29T21:20:33.121084,Randoop,com.viktor.lab4.LongestIncreasingSubsequence,120,10,10010,OK,152.625,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run10-seed10010,
2026-05-29T21:21:06.433348,Randoop,com.viktor.lab4.LruCache,30,10,10010,OK,33.311,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run10-seed10010,
2026-05-29T21:22:16.221603,Randoop,com.viktor.lab4.LruCache,60,10,10010,OK,69.788,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run10-seed10010,
2026-05-29T21:24:34.176513,Randoop,com.viktor.lab4.LruCache,120,10,10010,OK,137.953,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\120\run10-seed10010,
2026-05-29T21:25:05.337718,Randoop,com.viktor.lab4.SimpleJsonParser,30,10,10010,OK,31.16,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\SimpleJsonParser\30\run10-seed10010,
2026-05-29T21:26:06.426014,Randoop,com.viktor.lab4.SimpleJsonParser,60,10,10010,OK,61.087,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\SimpleJsonParser\60\run10-seed10010,
2026-05-29T21:28:07.309332,Randoop,com.viktor.lab4.SimpleJsonParser,120,10,10010,OK,120.883,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\SimpleJsonParser\120\run10-seed10010,
2026-05-29T21:28:40.473712,Randoop,com.viktor.lab4.PricingEngine,30,10,10010,OK,33.163,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\PricingEngine\30\run10-seed10010,
2026-05-29T21:29:47.013858,Randoop,com.viktor.lab4.PricingEngine,60,10,10010,OK,66.539,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\PricingEngine\60\run10-seed10010,
2026-05-29T21:32:00.300417,Randoop,com.viktor.lab4.PricingEngine,120,10,10010,OK,133.286,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\PricingEngine\120\run10-seed10010,
